id,num_vertices,num_faces,volume,surface_area,average_edge_length,genus,max_ver_xdisp,max_ver_ydisp,max_ver_zdisp,max_ver_magdisp,max_ver_stress,max_hor_xdisp,max_hor_ydisp,max_hor_zdisp,max_hor_magdisp,max_hor_stress,max_dia_xdisp,max_dia_ydisp,max_dia_zdisp,max_dia_magdisp,max_dia_stress,max_tor_xdisp,max_tor_ydisp,max_tor_zdisp,max_tor_magdisp,max_tor_stress,category,num_tets,mass,download_file,link_name,author,author_id,test_split_0,test_split_1,test_split_2
55,20854,41740,89623.60196104774,35868.872325708144,1.327350028474847,9.0,0.9149701,0.2052107,1.195728,1.392442,2161.954,0.02280104,0.217718,0.3555204,1.444185,1658.983,0.007520562,0.2901475,0.3821262,0.4892057,1011.331,0.3779117,0.3249216,0.2051731,0.4300978,623.5731,beam,242282,0.4006175007658834,GEoptv13.stp,ge-bracket-design-entry-1,Sikker Rosendal,sikker.rosendal,True,False,False
56,18474,36968,284927.5612788341,50810.38775427365,1.7641921713907045,6.0,0.3042289,0.09941673,0.4478969,0.5084434,778.228,0.007838779,0.05875901,0.1478364,0.4301174,507.0108,0.009180526,0.07682461,0.1700963,0.1872515,370.0817,0.09732396,0.01441185,0.06979761,0.1694518,295.9936,flat,219410,1.2736261989163886,GE jet engine bracket.STEP,ge-jet-engine-bracket-va0-1,Stefan Stoica,stefan.stoica-2,False,False,False
58,19734,39488,306833.9377348144,53982.41837108561,1.7599598590756649,6.0,0.2587995,0.0894894,0.3925076,0.4424836,682.9165,0.007298674,0.05415895,0.131837,0.369788,405.2676,0.004547277,0.07131998,0.1561041,0.1725674,336.4866,0.09216622,0.00888273,0.06608575,0.17014,319.2635,flat,243475,1.3715477016746205,GE jet engine bracket Vb0.STEP,ge-jet-engine-bracket-vb0-1,Stefan Stoica,stefan.stoica-2,False,True,False
59,17663,35346,93356.65952727248,33178.9034772958,1.4221208430458496,6.0,1.823849,0.1799036,2.066885,2.522228,1641.794,0.1797274,0.1560231,0.8652091,3.04978,1241.843,0.005858516,0.07499037,0.5582663,0.5594327,787.7128,0.4065345,0.07907257,0.2584167,0.4886863,562.486,butterfly,179707,0.417304268086908,Optimized Bracket JEGG.stp,optimized-bracket-1,Juan Esteban,juan.esteban-4,False,False,True
61,17098,34216,324206.9054228962,48881.98941447545,1.7969729154431495,6.0,0.2619247,0.04443961,0.3906929,0.4390384,1006.75,0.00830037,0.06967741,0.1072339,0.3733253,408.8269,0.01446258,0.03151015,0.1619341,0.1633324,676.8886,0.1253129,0.004344153,0.09064542,0.2294946,389.1822,flat,201352,1.449204867240346,prop_ma_00.STEP,ge-jet-engine-bracket-contri-1,blekiwajt,blekiwajt-1,True,False,False
62,13301,26622,106473.15918764911,34067.50969869271,1.700148199859882,6.0,0.8784104,0.1375767,1.179361,1.333492,1000.181,0.009282183,0.1366679,0.1959503,1.068866,687.8608,0.1546304,0.1034341,0.4235447,0.4391686,415.6976,0.2267725,0.05335255,0.2156006,0.3783407,430.7633,arch,135618,0.4759350215687916,bracketGE-ORIGINAL.igs,78-4th-ge-jet-engine-bracket-challenge-1,m.h.m,m.h.m-1,False,False,False
63,29736,59500,123696.60505444168,67779.71073236015,1.601223674331567,8.0,0.3601046,0.2024295,0.672504,0.7376505,665.0992,0.01203017,0.1198993,0.2030153,0.5653824,481.0448,0.005681714,0.2680086,0.3491025,0.4469345,445.1033,0.2742459,0.1215795,0.1426151,0.3486796,452.5424,block,237990,0.5529238245933543,GE JET BRACKET V_2.0.STEP,ge-jet-engine-bracket-v-2-0-1,Arfi'an,arfi.an-1,False,False,True
64,23840,47700,249369.49536109244,41713.5179103645,1.3050790405204782,6.0,0.3846978,0.09857577,0.5061933,0.5917521,699.0228,0.01802516,0.05422376,0.09826475,0.6007903,509.162,0.00208227,0.1271479,0.1783285,0.2275115,432.1361,0.218749,0.04528578,0.136051,0.2650914,574.2831,flat,327626,1.1146816442640832,PROTOTYPE002.SLDPRT,ge-engine-bracket-prototype-1,Ian Cummings,ian.cummings-2,True,False,False
65,16857,33754,134527.20460649332,40327.55728482887,1.65656301099322,11.0,0.6293102,0.6204005,1.732841,1.825855,1383.473,0.01049444,0.07266351,0.1904064,0.4459702,534.8087,0.277363,0.6006871,1.301793,1.400475,924.5239,0.1238529,0.03839538,0.08409975,0.2126875,308.433,block,177903,0.6013366045910252,Part1.stp,light-and-robust-1,necmiyildiz,necmiyildiz-1,False,True,False
66,38613,77270,105326.7553414372,45436.94413949156,1.094270433969913,12.0,0.2859648,0.1848372,0.5267713,0.5896018,1161.774,0.009453385,0.1155117,0.1912788,0.5693856,862.8164,0.00669123,0.2457008,0.2710072,0.3920666,814.8082,0.2837383,0.1153749,0.1556332,0.31932,610.1272,arch,465341,0.4708105963762243,ge_0808.stp,ge-jet-bracket-2,D SONG,d.song-1,False,False,False
69,13204,26436,168521.76436021435,43835.24855088038,1.960584869999355,8.0,0.4636101,0.4130199,0.9713265,1.074535,1167.994,0.02605406,0.2754705,0.35308,0.9484822,635.1621,0.04458275,0.3536566,0.5692145,0.6710564,678.2489,0.3928686,0.2525757,0.3008632,0.4405645,465.7251,other,128694,0.7532922866901582,bracket.stp,my-first-ge-jet-engine-bracket-1,Pavol Kiraly,pavol.kiraly-1,False,False,True
70,14078,28180,108878.27899830056,35275.03249701776,1.6568700879603435,7.0,0.936705,0.1979729,1.254723,1.432069,1435.222,0.02502374,0.1190273,0.3261505,1.23038,1126.926,0.07735673,0.1772196,0.4520848,0.4870729,628.9907,0.1678003,0.04734762,0.1256597,0.289217,411.0273,beam,132859,0.4866859071224035,bracketGE_1_1a.igs,first-ge-jet-engine-bracket-challenge_2-1,m.h.m,m.h.m-1,False,True,False
71,17801,35634,134341.64790866207,43683.188454045056,1.648408909319789,9.0,1.324896,0.4013729,1.438669,1.823161,2864.464,0.07382731,0.213262,0.690055,2.123211,2307.41,0.02244229,0.1725629,0.3199131,0.3436465,1253.246,0.3446013,0.03451189,0.3252832,0.4547605,414.8506,other,199412,0.6005071661517195,Part1.IGS,simple3-1,mohammad1993,mohammad1993-1,False,False,False
72,16941,33910,141278.8356532572,47454.26501120136,1.778571493310248,8.0,0.9273828,0.2557681,1.326357,1.506919,1223.792,0.01971913,0.3404373,0.6284482,1.781618,1189.625,0.01513008,0.2071771,0.4291263,0.617431,1086.385,0.4342371,0.1755315,0.2248352,0.5785369,434.4343,flat,164020,0.6315163953700598,bracket.STEP,ge-jet-engine-bracket-2-0-1,Dino Salkanovic,dino.salkanovic,False,True,False
73,52667,105478,122129.5491220946,45263.08741785887,0.947768403923212,37.0,0.6375819,0.781104,1.300476,1.575359,1746.851,0.01261655,0.1020518,0.2798377,0.9470996,837.8126,0.01299723,0.705142,0.6846327,0.9649112,1629.518,0.676854,0.2197365,0.5125981,0.7810993,805.8174,butterfly,663966,0.5459190845757629,ge bracket version 5.0.STEP,ge-bracket-version-5-1-1,simon,simon-240,True,False,False
76,26345,52894,109214.4872363806,53956.71596454407,1.4699995071318035,52.0,0.4788913,0.2731197,0.7732078,0.8830404,728.9378,0.03260362,0.2653255,0.2559787,0.8113034,642.4574,0.008282453,0.4390391,0.3645467,0.5745158,622.3306,0.2176263,0.0425473,0.1241717,0.33366,460.4828,block,256650,0.4881887579466213,FinalDesign-UWMadison.STEP,uw-madison-topology-optimization-result-1,Krishnan Suresh,krishnan.suresh-1,True,False,False
77,21939,43906,139009.43276562094,49808.27615671,1.570225864674726,8.0,0.3133321,0.3400498,0.7348669,0.8048338,722.8359,0.01739113,0.281602,0.6369353,0.8744306,762.1683,0.01012382,0.5100068,0.6167232,0.753639,522.3374,0.1374111,0.06369305,0.09498421,0.2283724,309.1831,block,258370,0.6213721644623257,Bracket 3.IGS,bracket-design-1,Andrew Smolkov,andrew.smolkov-1,False,False,False
78,46102,92224,179291.71402999217,48209.50304940701,1.0065161174534014,6.0,0.8617362,0.09701715,1.062875,1.259153,1343.678,0.02409391,0.09822752,0.6172754,1.295173,933.9296,0.002471099,0.05783409,0.2603731,0.2674286,598.8268,0.2180769,0.08232585,0.1405022,0.3336877,514.6563,flat,619369,0.8014339617140651,GE Bracket V2.stp,ge-bracket-challenge-2,Ririwin,ririwin-1,False,False,False
79,39610,79240,172574.74254905366,102807.85583591432,1.720306259029191,6.0,0.2998033,0.2843031,0.7082499,0.7636228,787.9434,0.01087048,0.08505753,0.0745779,0.3575586,375.2846,0.02857758,0.313975,0.4837341,0.56291,760.9284,0.1035954,0.0129192,0.06201928,0.215547,307.2901,block,284980,0.7714090991942699,Bracket_Modified_FVZ.prt,ge-jet-engine-bracket-for-dmls-1,Fritz VZ,fritz.vz-1,False,False,False
80,34049,68134,93297.62317828865,32859.04518125175,0.9790896616534432,10.0,1.568094,0.527854,2.008762,2.408189,2047.418,0.1568086,0.4389725,0.7065914,2.698867,1347.981,0.008369328,0.3285173,0.6580321,0.6875717,943.3354,0.7038448,0.1747224,0.4580655,0.8422624,789.9477,butterfly,417734,0.4170403756069503,400a.stp,number400-1,Martin Dirker,martin.dirker,False,False,True
81,33268,66572,93384.23587106206,32950.94821668793,0.985772288664254,10.0,1.542605,0.5561318,2.023981,2.412284,1780.479,0.1572447,0.4054562,0.7086363,2.650574,1205.093,0.008375703,0.3569773,0.6605195,0.7012163,916.0231,0.662469,0.1833716,0.412004,0.8052344,798.5527,butterfly,416004,0.4174275343436474,400.stp,number400-1,Martin Dirker,martin.dirker,False,False,False
82,97341,194834,109538.71941165626,65616.3004759238,0.8388807519634045,39.0,1.868278,0.3192756,2.593109,2.949905,2711.418,0.09641113,0.2151896,0.6264028,2.364963,1748.93,0.3176479,0.1301191,0.9002401,0.9140135,1184.888,0.1620947,0.09079349,0.09168182,0.3191369,390.821,beam,1211060,0.4896380757701035,GE-BRACKET-10-AJC.stp,ge-bracket-10-ajc-1,Andrew Coyne,andrew.coyne-1,False,False,False
86,64534,129388,312680.31268429186,120743.80331821392,1.4653313219032675,81.0,0.1559894,0.05263898,0.2640838,0.2884869,483.8012,0.006595224,0.02963622,0.04296999,0.2116809,269.0778,0.01083007,0.06857854,0.1350172,0.1520164,245.3218,0.08669353,0.009398436,0.06315036,0.1658531,325.2237,block,642162,1.3976809976987847,concept1.igs,ge-jet-engine-bracket-34,riyosketch,riyosketch-1,False,False,True
87,31281,62586,239658.15298395712,66740.77680200135,1.5304402228530514,7.0,0.3835798,0.1025985,0.6167138,0.6808685,879.9901,0.0135188,0.07561729,0.2234646,0.5823802,479.5972,0.01475172,0.07060019,0.246888,0.2605833,471.3498,0.1047551,0.02898186,0.06167177,0.1385729,281.5208,flat,395743,1.0712719438382885,GE jet engine bracket.SLDPRT,engine-bracket-for-ge-2,Leonardo Alves,leonardo.alves-1,False,True,False
91,26248,52516,134717.9846430522,39195.814746711854,1.219866457388396,6.0,0.4222499,0.2694497,0.7469355,0.8279374,655.2886,0.01739023,0.04230304,0.1122852,0.5014808,514.4991,0.06354015,0.2666487,0.4103477,0.4863251,419.2048,0.1577939,0.05537233,0.1117363,0.235828,405.1993,beam,368440,0.6021893913544434,GE JEB 0000_15_5.STEP,elemental-design-1,EDISON PHOENIX,edison.phoenix,False,False,False
92,17124,34268,374336.5557608854,52551.75430168271,1.8617679149212367,6.0,0.1747237,0.056616,0.2923516,0.3216349,513.6497,0.007598731,0.02506645,0.06167016,0.2460626,324.0308,0.009821384,0.06398844,0.1387235,0.1494061,300.0116,0.09831604,0.02888143,0.05891252,0.1482469,303.0572,flat,215973,1.673284404251158,bracket1.stp,engine-jet-bracket-1,praveen kumar,praveen.kumar-22,True,False,False
94,30847,61714,94034.82450920444,29985.500511769664,0.951571187765992,6.0,1.938786,0.1801884,2.410677,2.823291,2087.721,0.05160328,0.2067021,0.4047372,2.57613,1872.396,0.2051766,0.08427705,0.6246285,0.6373073,864.632,0.3037149,0.1391291,0.1924144,0.3810347,468.9343,butterfly,374068,0.4203356655561439,012.stp,ge-jet-engine-bracket-32,jaxon,jaxon-1,True,False,False
95,41960,83984,134182.38190958148,42875.125630057366,1.0155045918649173,17.0,0.8854352,0.2150984,1.618822,1.7207,743.5557,0.021856,0.2048674,0.2802544,0.9565755,657.0261,0.268699,0.3208663,0.9298121,0.9844111,672.7443,0.4129833,0.0700929,0.4032536,0.936377,613.8535,beam,575194,0.5997952471358293,GE jet engine bracket Proto 1.STEP,ge-jet-engine-bracket-proto-1-1,Eduardo Romo,eduardo.romo-1,False,False,False
96,28250,56524,167682.10542342954,47998.30420888239,1.333990611156323,7.0,1.742301,0.2024884,2.293342,2.675561,1394.086,0.03882903,0.1593109,1.241392,2.578407,1112.831,0.007718558,0.1010537,0.6186702,0.6270611,569.2162,0.1681604,0.0762349,0.1090499,0.2446773,410.7895,flat,356485,0.7495390112427301,engine bracket version1.IGS,ge-jet-engine-bracket-33,bakini,bakini-2,False,True,False
97,61246,122608,168726.04086006148,56654.297873919895,0.9558190970392548,30.0,0.6710286,0.08058998,0.7731771,0.9506122,741.4283,0.01353083,0.09668481,0.7447592,1.222058,853.3026,0.00323282,0.06186009,0.2832955,0.2908719,382.6891,0.2139566,0.09158029,0.1200624,0.3070789,467.9254,beam,808470,0.7542054026444749,BRACKET#5#6#new.SLDPRT,elemental-design-2-1,Siddarth,siddarth,False,False,True
98,63028,126172,169782.42065456067,57270.383626108494,0.9491553469118358,30.0,0.657496,0.07981516,0.7601803,0.9300627,722.8921,0.01358948,0.09570117,0.7384351,1.201393,866.4918,0.003243193,0.1082113,0.2859992,0.2993264,396.6914,0.2069618,0.08791651,0.1029834,0.2813896,442.4305,beam,835000,0.7589274203258862,BRACKET#5#6#29.SLDPRT,elemental-design-2-1,Siddarth,siddarth,True,False,False
101,28483,56994,145593.28863595804,71414.61765957621,1.6711031667593048,8.0,0.4848208,0.09582016,0.7438028,0.8172499,717.2394,0.03930026,0.07600209,0.1991826,0.9080148,600.2522,0.0114423,0.1160004,0.2800734,0.3495609,527.1879,0.1864886,0.02517552,0.1164746,0.2889144,358.3351,flat,288833,0.6508020002027325,generalelectric.stp,general-electric-jet-engine-bracket-1,Chris Dabek,chris.dabek,False,False,True
102,54488,109792,108852.33353164943,61581.607867157225,1.0707208050218724,205.0,0.6873704,0.2287332,1.115438,1.227479,1474.907,0.0165521,0.1034787,0.1578027,0.9625123,1865.747,0.03569726,0.228736,0.4739156,0.5222916,724.1509,0.2372627,0.03617403,0.1414923,0.3368638,491.5602,flat,489373,0.486569930886473,ge brkt 5.STEP,ge-brkt-5-1,Brooks,brooks,False,False,False
106,50866,101752,234930.7750971574,63497.10349050099,1.0821828573830412,6.0,0.4831623,0.2647214,0.790301,0.8783373,996.3485,0.06390263,0.1033225,0.3178463,0.6377039,554.5587,0.05967032,0.1906576,0.3382935,0.3744071,680.5646,0.1493134,0.03068073,0.1117311,0.2943741,474.3581,flat,868383,1.0501405646842936,Bracket.stp,ge-bracket-6,Maierean Mircea,maierean.mircea-1,False,False,False
